Jump to:,,,,,,,,ア,,,,,イ,,,,,ウ,,,,,エ,,,,,オ,,,,,カ,,,,,キ,,,,,ク,,,,,ケ,,,,,コ,,,,,サ,,,,,ツ,,,,,ス,,,,,セ,,,,,ソ,,,,,タ,,,,,チ,,,,,ツ,,,,,テ,,,,,ト,,,,,ナ,,,,,二,,,,,ヌ,,,,,ネ,,,,,ノ,,,,,ハ,,,,,ヒ,,,,,フ,,,,,へ,,,,,ホ,,,,,マ,,,,,ミ,,,,,ム,,,,,メ,,,,,モ,,,,,ヤ,,,,,ユ,,,,,ヨ,,,,,ラ,,,,,リ,,,,,ル,,,,,レ,,,,,ロ,,,,,ワ,,,,,ン,
,,,,,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation
,,,,,,,,,,,,,,,,"ウワー,",uwa-,*what* *?!* *flabbergasted*,"Flabbergasted exclamation, exclamation of disbelief. ",,,,,,,,,,,,,,,,,"キイーッ,",ki-,(1) *screech*,(1) Sound of something halting; braking; ,,,,,,,,,,,,"コッ,",ko,*tap* ,"SFX for running or walking footsteps, such as up the stairs or down a hallway. ",,"ザワザワ,",zawa zawa,(1) *chatter chatter* ,"(1) SFX for liveliness, noise, crowd like ガヤガヤ (Gaya gaya);",,,,,,,すててて,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドリャァー,",dorya-,*yell*,"A war cry. See also *ora*, *orya*, *sorya*, and *uraa*. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See also *bari bari*. ,,"ビュービュー,",byu- byu-,(1) *whizz* *whizzing*;,(1) SFX for the sound of something buzzing by;,,,,(5) *sudden movement* *shoom* *whoom* *fwoom*;,,,,,,,,,,,"(2) For other fire sounds, see *bo* and *guoo*; for other light sounds, see also *paa* and *kaa*. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うわー,,,,,,,,,,,,,,,"ガルル,",garuru,*growwl*,SFX for an animal-like growling. ,,きいーっ,,,(2) A long hysterical scream. ,,"グッタリ,",guttari,(1) *dropped* ,(2) SFX for exhaustion. ,,,,,,,こっ,,*step*,,,ざわざわ,,*buzz* ,(2) SFX for the leaves of a forest moving. ,,"シャッ,",sha,*slice* *slash* *shaa* *whoosh*,SFX for something slicing the air. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どりゃぁー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,びゅーびゅー,,(2) *whistling* *howling*,"(2) SFX describing extreme weather conditions, like powerful winds during a storm ",,,,(6) *heh* *smirk*,,,"ペタンコ,",petanko,(1) *smooth* *flat*; ,(2) To flop down on the floor. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,がるる,,,,,,,,,,ぐったり,,*very tired* ,,,,,,,,,,,,,,,*jabber jabber*;,,,しゃっ,,,,,"スト,",suto,*tap* *land*,SFX for the light contact of a shoe on a surface. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"フ,",fu,*chuckle*,Light and brief laughter with irony or sarcasm. ,,ぺたんこ,,(2) *flop*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウワーン,",uwa-n,*crying*,SFX for one crying very hard. ,,,,,,,,,,,,,,,,,,,,,,,,*weak*;,,,,,,,,"コチョコチョ,",kocho kocho,(1) *tickle tickle*;,"(1) If ""-suru"" is added (kocho kocho suru), translates to ""to tickle."" ",,,,(2) *rustle rustle*;,,,,,,,,すと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドサッ,",dosa,(1) *collapse* *fall*;,Collapsing on a bed or sofa in an exhausted manner. ,,,,,,,,,,,,,,,,,,,,,,,,,,,"バリバリ,",bari bari,(1) *full of energy* *bring 'em on*; ,(1) When one is full of energy and ready to get 'em on/get to task; ,,,,,,,ふ,,,,,,,,,,"ポー,",po-,*gazey*,Often used when you are gazey or get absorbed in something/someone that you can't take your eyes off it. Ex. Love at first sight. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うわーん,,*bawling*,,,,,,,,,,,,,"ガサッ,",gasa,(1) *crumbles off* *thud*;,(1) Falling off by crumbling (with a thud);,,"キーコ,",ki-ko,*squee* *squeak*,"SFX for the high-pitched sound of metal links grinding against each other, like the sound of a swing. ",,,,(2) *ugh* *uuggghh*,,,,,,,,こちょこちょ,,(2) *koochie-koochie koo*;,,,,,(3) *mutter mutter*,,,"シャー,",sha-,(1) *pouring water*;,"(1) SFX for pouring water, like shower; Lighter than ジャー (Jya-);",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どさっ,,(2) *thump*,,,,,,,,,,,,,,,,,,,,,,,,,,,,ばりばり,,(2) *crunchy*; ,(2) When something is very hard/crunchy; ,,"ビューン,",byu-n,*whizzing*,,,,,,,,"ペタント,",petanto,(1) *smooth* *flat*; ,(2) To flop down on the floor. ,,ぽー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,*waaah*,,,,,,,,,,,,,がさっ,,(2) *moves*,(2) To move in large numbers. ,,きーこ,,*creak*,,,"グット,",gutto,(1) *concentrate*;,"(1) Extreme concentration, also strong emotion;",,,,,,,,,(3) *secret*,,,,,*buzz buzz*,,,しゃー,,(2) *whoosh* *shaa*;,(2) Something slicing the air;,,"ストン,",suton,(1) *sit*; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *crunch crunch*;,"(3) SFX for eating something very crunchy, like senbei, see also *kori*, *pari*, and *pori*.",,びゅーん,,,,,"フッフッフッ,",fu fu fu,*kekeke* *hehehe*,"An evil snicker, usually the person has some hidden plot in mind. See also *ku ku ku* and *pu pu pu*. ",,ぺたんと,,(2) *flop*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウワァー,",uwahhh-,*wahhh!* *agghhh!*,,,,,,,,,,,,,,,,,,,,,,,ぐっと,,(2) *with gusto*,"(2) A rather abstract term, Ex: something occurring with enthusiasm or extra effort, to look forward to drinking beer. ",,,,,,,"コチョク,",kochoku,*frozen* *paralyzed*,,,"ザザーン,",zaza-n,*sha-shaaa*,SFX for calm waves of water. ,,,,(3) *splash*;,(4) Something slicing the air ,,すとん,,(2) *heavy thud*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドサ,",dosa,*flump* *flomp*,Usually used when a stack of clothes/paper is put down.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *scratch scratch*,"*pori pori* = quietest crunching, i.e. cookies;",,"ビュン,",byun,(1) *zoom*,"SFX for something or someone travelling at fast speeds, such as someone being pulled along in a running fashion, or something being thrown or shot through the air. ",,ふっふっふっ,,,,,,,,,,"ポーン,",po-n,*pow*,SFX for tennis ball hitting the strings. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うわぁー,,,,,,,,,,,,,,,,,,,,"キーコキーコ,",ki-ko ki-ko,*squee squee* ,"SFX for the high-pitched sound of metal links grinding against each other, like the sound of a swing. ",,,,*with fervor*,,,,,,,,こちょく,,,,,ざざーん,,*shaa*,,,,,(4) *slice* *slash* *whoosh*,,,"スッテーン,",sutte-n,*trip over* *fall* *tumble*,Pretty dramatically. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どさ,,*thud* *fwump*,See also *dosha*. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(5) *crackle crackle*;,"*bari bari* = crunchy, i.e. chips;",,びゅん,,*shoom*;,,,,,,,,,,,,,ぽーん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウッワー,",uwwa-,*wow!* *wow*,See also *uwa-*. ,,,,,,,,,,,,"ガサ,",gasa,(1) *rustle* *stealthy movement*;,"(2) Commonly used for quiet footstep in the grass, also can be paper, cloth, or other material rustling;",,きーこきーこ,,*squeak squeak*,,,,,*much more*,,,,,,,,"コホ,",koho,*cough*,"Light cough. See also *goho*, *kehen*, and *kon*. ",,,,,,,,,,,,すってーん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6) *rip rip*,"*kori kori* = soft crunch, i.e. broccoli or asparagus;",,,,(2) *whizzing*,,,"フーッ,",fu-,(1) *hiss*;,(1) SFX for an animal hissing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うっわー,,,,,,,,,,,,,,,がさ,,(2) *quiet rustle*;,(3) SFX for someone shifting their weight (ie. shifting from one foot to the other). ,,,,*creak creak*,,,"グウッ,",guu,*growl*,Stomach growling noise when hungry. ,,,,,,,こほ,,,,,"ザザザ,",zazaza,(1) *footstep in grass* ,(1) Running through grass or bushes;,,"シャアシャア,",shaa shaa,*shamelessly* *carefree*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*tear*;,(4) See also *giri giri* and *kiri kiri*;,,"ビュンッ,",byun,*zoom*,SFX for something flying through the air at fast speeds. ,,ふーっ,,(2) *haa* *blush* *flush*;,"(2) SFX for embarrassment, or a suppressed sigh or grunt of embarrassment;",,,,,,,"ポアッ,",poa,*fwoosh* *complete*,SFX for the end of a transformation. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *shift*,,,"キーンコーン,",ki-n ko-n,*ding dong*,"Sound of a school bell, can be at the start of school or the end of school.",,ぐうっ,,,,,,,,,,,,,,,ざざざ,,*walk quickly* ,"(2) A ""fwishing"" kind of sound, can be grassy or liquid-like;",,しゃあしゃあ,,,,,"スット,",sutto,(1) *immediately*,"(1) To do something without a second thought, or to do something out of excitement or over-enthusiasm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドサドサ,",dosa dosa,(1) *falling*;,(1) SFX for falling objects. See also *dosa*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(5) Ex: SFX for electricity or energy. ,,びゅんっ,,*shoom*,,,,,(3) *heh*,"(3) SFX for a cocky, self-confident grunt ",,,,,,,ぽあっ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウヨウヨ,",uyo uyo,*squirm squirm* *wiggling*,"A squirming, somewhat writhing mass. ",,,,,,,,,,,,,,,,,きーんこーん,,*ding dong ding diing*,,,,,,,,,,,,,"コイ,",koi,*come on*,As a fighting phrase. ,,,,*running through grass*;,"(3) SFX for several quick footsteps, like when running away from something or charging towards something.",,"シャァン,",shaan,*shatter* *crash* *ka-sha* *crack*,SFX for something fragile shattering into a million pieces.,,すっと,,*quickly*,"Ex: ""He quickly stood up and invited the old lady to take his seat"";",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どさどさ,,(2) *whump whump*,(2) SFX for falling objects. See also *dosa*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*pari pari* = quiet crackle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うようよ,,,,,,,,,,,,,,,"ガサガサ,",gasa gasa,*murmur* *rustle*,"SFX for the sound of rustling in a natural environment, such as the sound of leaves or bushes being moved.",,,,,See also *ki-nko-nka-nko-n* and *kinkon*. ,,"グウグウ,",guu guu,(1) *growl* *rumble*;,(1) Stomach rumbling. ,,,,,,,こい,,,,,,,(2) *vssshhhaaaa*,,,しゃぁん,,,Ex: A mirror or glass vase crashing and shattering. ,,,,*right away*,"(2) Ex: ""She drank the sake straight down""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*thump thump*;,(3) SFX for flailing limbs. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See also *bachi* and *biri biri*;,,"ビュンビュン,",byun byun,(1) *spin* *twirl*;,(1) SFX describing the action of whirling round and around;,,,,,,,,,,,,"ポチャポチャ,",pocha pocha,(1) *elastic*;,(1) Skin;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,がさがさ,,,See also *sara sara*. Slightly rougher than *kasa*. ,,,,,,,ぐうぐう,,(2) *fast asleep and snoring*,,,,,,,,,,,,,,,*vvssshhh*;,See also *zuzaza* (ズザザ). ,,,,,,,,,*without hesitation*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *flap flap*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6) See also *biri biri*.,,びゅんびゅん,,(2) *whizzing* *whoom* *shoom*,(2) SFX for the sound of something speedy passing by ,,"フー,",fu-,*sigh* *hiss* *exhale*,SFX for a breath of air being released or exhaled. ,,,,,,,ぽちゃぽちゃ,,(2) *splash*,(2) In water. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウゾウゾ,",uzo uzo,*menace*,See also *gi gi* and *go go go*. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"コイコイ,",koi koi,*come come*,SFX for beckoning someone. Derived from the verb *to come* or 「来る」. ,,,,(3) *run run run*,,,,,,,,,,(2) *straight down*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ふー,,,,,,,,,,,,*dabble*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うぞうぞ,,,,,,,,,,,,,,,,,,,,"キーンコーンカーンコーン,",ki-nko-nka-nko-n,*di-ng do-ng da-ng do-ng*,"Sound of a bell, usually the after-school bell.",,"グウー,",guu-,*grooowwwll* *hungry*,"SFX for stomach growling, making noises when hungry. ",,,,,,,こいこい,,,,,,,,,,"シャカ,",shaka,*cocks* *clack*,"Sound of cocking a gun, a clacking noise. ",,,,*straight*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドサン,",dosan,*THUD*,See also *dosa*. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See also *bari*. ,,,,,,,,,,,,,,,,,,,(3) *plump*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ガサゴソ,",gasa goso,*rumbling*,,,きーんこーんかーんこーん,,,,,ぐうー,,,,,,,,,,,,,,,"ザザザッ,",zazaza,(1) *dash*;,"(1) SFX for a quick motion, such as when one runs or races for something;",,しゃか,,,,,,,*without hesitation*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どさん,,*FWUMP*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ビュウビュウ,",byuu byuu,*whistling*,Whistling of the wind. ,,"フーエ,",fu-e,*cry* *wail*,See also *e* and *mii*. ,,,,,,,,,*chubby*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ウズウズ,",uzu uzu,*itching to do something*,See also ムズムズ. ,,,,,,,,,,,,がさごそ,,,,,,,,See also *ki-n ko-n* and *kinkon*. ,,,,,,,,,,,,"コケッ,",koke,*stumble* *tumble*,,,ざざざっ,,(2) *slide*,"(2) SFX for a quick and smooth motion, for swiftness ",,,,,,,"スウ,",suu,(1) *slip* *pass*;,"(1) SFX for brushing someone off, physically walking by, or ignoring someone. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*BAM!*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,びゅうびゅう,,,,,ふーえ,,,,,,,,,,"ポチャン,",pochan,*drip* *plunk* *kerplunk!*,"See also *pi*, *picha*, *pichon*, and *pochi*. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,うずうず,,*impatient*,,,,,,,,,,,,,"ガシャッ,",gasha,(1) *crunching*;,,,"キラキラ,",kira kira,(1) *glitter* *sparkle* ,(1) Ex: The twinkling of a star;,,"グウキュルル,",guukyururu,*gurgle gurgle*,"SFX for something growling, such as the growling of one's stomach when hungry. ",,,,,,,こけっ,,,,,,,,,,"シャカシャカ,",shaka shaka,(1) *shake shake*;,(1) Usually when you're shaking something in your hand. Usually used when making cocktails;,,すう,,(2) *stands up*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドシャ,",dosha,*thud*,See also *dosa*. ,,,,,,,,,,,,,,,,,,,,,,,,,,,"バリンッ,",barin,(1) *snatch*;,"(1) SFX for grabbing something before someone else does, or to take something away quickly ",,,,,,,,,,,,,,,,,ぽちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,*excited* *anticipation*,,,,,,,,,,,,,がしゃっ,,(2) *topple over* ,,,きらきら,,*twinkle*,(2) Ex: The shininess of jewelry.,,ぐうきゅるる,,,,,,,,,,"コケコッコー,",kokekokko,*cock a doodle doo*,Sound of a rooster in the morning. ,,,,,,,しゃかしゃか,,(2) *scrape*;,(3) Like when whisking eggs into cream. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どしゃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ばりんっ,,(2) *whoomp* *smash*;,,,"ヒッ,",hi,(1) *eep* *eek* *squeal*;,"(1) A high-pitched squeal of shock, disgust, or horror, often used for comedic effect;",,"フーン,",fu-n,*whistling*,Whistling to a tune. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ヴォンッ,",von,*voom* *vroom* *screech* *roar*,SFX for the loud screaming of tires and rough traction. ,,,,,,,,,,,,,,*clatter*,,,,,(1) *dazzlingly*,,,,,,,,,,,,,こけこっこー,,,,,"ザッザッ,",zazza,*rustling* *footsteps* *marching* *ka-chink ka-chink* *thud thud* *fwsshhh shaa*,Rustling sound of many footsteps trying to be stealthy. See also *zazaza*. ,,,,(3) *whisk whisk* *whip whip*,,,"スゥウーッ,",suu-u,*slow motion*,"SFX for a dramatic, slow-motion effect, usually used to emphasize something. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *crunch*,,,ひっ,,(2) *yikes*,(2) SFX for getting startled or surprised by something ,,ふーん,,,,,,,,,,"ポチポチ,",pochi pochi,*steadily*,"Something happening steadily, as in water dripping. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ゔぉんっ,,,,,,,,,,,,,,,"ガシャ,",gasha,(1) *clang* *clunk*;,(3) SFX for an explosion with something shattering;,,,,*bling bling*,See also *gira gira*. ,,"グウット,",guutto,*concentrates* *intense*,"Extreme concentration, also strong emotion. ",,,,,,,,,,,,ざっざっ,,,,,,,,,,すぅうーっ,,*dramatic*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドシン,",doshin,*heavy thud*,,,,,,,,,,,,,,,,,,,,,,,,,,,,"バサ,",basa,(1) *flomp* *rustle* *whish* *fwp*;,"(1) Usually used when a stack of clothes/paper is put down or falling down, see also *pasa*; Also used when a lot of hair has been cut off.",,,,,,,,,,,,,,,,,ぽちぽち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,がしゃ,,(2) *ker-shak* *ker-chak*;,"(4) SFX for something cracking and breaking into several pieces, such as glass. ",,,,,,,ぐうっと,,,,,,,,,,"コケコッコー,",kokekokko-,*cock-a-doodle-doo*,SFX for the cry of a rooster. ,,,,,,,"シャキ,",shaki,*sharp* *glitter*,"Something sharp and glittering, like a knife or a pair of scissors. ",,,,*slowly*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どしん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ばさ,,(2) *opens*;,See also *basa basa*.,,,,,,,"フーン,",fu-n,*humph* *hmph* *heehh*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ヴォオ,",voo,*shoom* *whoom* *whoosh*,"SFX for a whirling, powerful force. ",,,,,,,,,,,,,,(3) *crash* *ka-shang*;,,,,,,,,,,,,,,,,,,こけこっこー,,,,,,,,,,しゃき,,,,,,,*fwaaahhh*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドシュ,",doshu,*slash*,And giving a pretty deep wound. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *dry*;,"(6) The effect after a great ""reveal"";",,"ヒー,",hi-,(1) *shriek*;,,,ふーん,,,,,,,,,,"ポイ,",poi,*throw away*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ゔぉお,,,,,,,,,,,,,,,,,(4) *smash* *shatter*,,,"キラーン,",kira-n,(1) *twinkle* *shine* *glint*;,(1) See also *gira*;,,"グワッ,",guwa,*scream*,,,,,,,,,,,,,,,,,,,,,,,"スヤ,",suya,*sleeping*,"See also *gu*, *ku*, and *supigu*. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,どしゅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *loose*;,(7) SFX for a messy state;,,ひー,,(2) hah,,,"フーサ,",fu-sa,*fwshh* *fwwshh*,Like the soft rustling of hair movement. See also *fusa*. ,,,,,,,ぽい,,*toss*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ガシャーン,",gasha-n,(1) *crash* *smash*;,"(1) Slightly more emphasis than *gashan*. Can also be associated or replaced with more description, i.e. *crack crack* or *splatter* depending on subject. ",,きらーん,,(2) *sparkle*;,(3) SFX for the shininess of a bright star ,,ぐわっ,,,,,,,,,,"コキコキ,",koki koki,*crack crack*,"SFX for cracking one's joints or bones, like after a tough workout or in preparation for a fight. ",,,,,,,"シャキィーン,",shakii-n,*sharp* *glitter*,SFX for something sharp. ,,すや,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(5) *flap*;,(8) SFX for severing something with a single cut;,,"ヒーエ,",hi-e,*shriek*,,,ふーさ,,,,,,,,,,"ポカ,",poka,*impact*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"ヴー,",vu-,(1) *mmpphh* *vvmmpph*;,(1) SFX for trying to speak through a gag;,,,,,,,,,,,,がしゃーん,,(2) *fall* *collapse*,,,,,(3) *shing* *sheen*,,,"グワフフ,",guwa fufu,*wahaha* *yes* *oh yes*,"A wicked, perverted laugh. ",,,,,,,こきこき,,*crack snap*,,,,,,,,しゃきぃーん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ドッサッゴッサッ,",dossa gossa,*toss toss*,"SFX for ""tossing"" or flipping something in a repetitive, flowing motion. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6) *ta-dah* *tada* *ta-da*;,(9) SFX for giving a blank look ,,ひーえ,,,,,,,,,,,,,,,ぽか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
